,ssn,name,age,address,city,sex,role,email,salary
0,016-52-0591,Christopher Gilbert,35,698 Joseph Lodge,Rojasside,Male,Delivery,obuck@example.org,46145.0
1,658-67-1060,Christopher Hill,25,60700 Johnston Station,Leefort,Female,Software Engineer,jhouston@example.net,102843.0
2,496-73-7380,Amanda Griffin,47,211 Cody Ranch Suite 684,Jamesfort,Male,Warehouse worker,gjohnson@example.com,102843.0
3,251-59-6313,Christopher Poole,53,47319 Sean Plain Apt. 820,New Ericburgh,Male,Delivery,juliaclark@example.org,46145.0
4,105-25-9963,Cory Christensen Jr.,32,36395 Ingram Springs,Haileychester,Female,Delivery,fanderson@example.com,46145.0
5,749-80-6233,Dustin Hill,34,625 Ricky Islands,Robertfurt,Male,Software Engineer,rodriguezcourtney@example.net,102843.0
6,085-40-3618,Manuel Le,26,2405 Mary Light Suite 037,West Michaelview,Female,Data Scientist,cynthiadelgado@example.org,179313.0
7,104-98-3920,Mark Zimmerman,21,93870 Leslie Alley,Grantchester,Male,Warehouse worker,wmorgan@example.com,102843.0
8,667-08-4844,Blake Miller,41,9102 Joseph Shore Suite 552,Lake Cindyview,Male,Software Engineer,ztate@example.org,102843.0
9,101-65-8408,Mr. Keith Shepherd,44,50375 Nicole Points Suite 324,Palmerton,Female,Sales,dherrera@example.com,111729.0
10,849-29-6895,Kyle Orozco,52,4370 Andrade Wells Suite 501,West Mitchell,Male,Sales,jessica70@example.com,111729.0
11,074-57-2411,Todd Knapp,26,72974 Pena Locks,Saraport,Male,Warehouse worker,bwagner@example.net,102843.0
12,579-88-8139,Tiffany Brown,41,62996 Steven Expressway Apt. 408,Chungland,Female,Product Manager,moralespatricia@example.org,214543.0
13,302-74-9580,Jacob Mcguire,46,1402 Kyle Ridges Apt. 650,West Amber,Female,Software Engineer,michael32@example.org,102843.0
14,453-68-8369,Michael Parsons,24,90354 Julie Cliffs Apt. 763,South Laurenview,Female,Product Manager,williamsjohn@example.com,214543.0
15,606-21-5370,Marcus Skinner,51,9992 Washington Point Suite 009,Mullinsfort,Male,Quality Control,robert24@example.org,219689.0
16,371-25-9099,Leslie Leblanc,42,785 Coleman Brook,Andrewtown,Male,Data Scientist,andreapage@example.com,179313.0
17,672-57-1380,Nicole Cruz,59,38162 Byrd Crossroad Apt. 704,South Daniel,Female,Sales,angelortega@example.com,111729.0
18,355-11-1046,Jeremy Robinson,55,24512 Russo Inlet Apt. 473,Lake Sally,Male,Data Scientist,trevorcarroll@example.com,179313.0
19,357-65-5105,Todd Hill,53,22599 Thomas Points,South Wesleyland,Female,Warehouse worker,mark36@example.net,102843.0
20,042-31-9682,Nicholas Rowland,37,6299 Kevin Spur Apt. 254,Brownhaven,Female,Delivery,markruiz@example.net,46145.0
21,490-43-2323,Megan Valencia,28,668 Salazar Views,New Amy,Male,Warehouse worker,udyer@example.net,102843.0
22,842-54-9684,Geoffrey Elliott,54,19776 Clark Unions Suite 462,Millerberg,Male,Data Scientist,terryburch@example.net,179313.0
23,763-50-7237,Brett Robinson,32,763 Cardenas Mountain,Johnfort,Male,Delivery,dbrown@example.net,46145.0
24,455-75-7798,Erica Wallace,49,672 Nicholas Mall Apt. 466,North Heather,Male,Quality Control,milesstephanie@example.org,219689.0
25,037-84-2738,Stephen Scott,56,921 Berry Pine Apt. 463,Jacobland,Male,Software Engineer,achase@example.net,102843.0
26,305-30-9784,Stephanie Evans,48,747 Wood Locks Suite 634,Bradleychester,Female,Software Engineer,wyattpaul@example.org,102843.0
27,849-81-2189,Jon Taylor,45,245 Kathryn Club,Heatherview,Female,Warehouse worker,kelsey57@example.net,102843.0
28,629-83-2575,Madison Oliver,43,52220 Daniel Union Apt. 282,Katiefurt,Male,Product Manager,qsmith@example.net,214543.0
29,658-01-4497,Brian Ford,44,9015 Nicholas Island,Beanport,Female,Sales,dillon28@example.net,111729.0
30,084-83-9723,Ronnie Hart,57,21308 Davis Loaf,Justinfurt,Male,Product Manager,john46@example.org,214543.0
31,003-92-3910,Cole Mooney,40,29340 Anderson Plains Suite 928,South Mitchell,Male,Software Engineer,burnsamy@example.net,102843.0
32,646-27-7372,Kevin Barnett,27,3436 Miller Landing,Simschester,Male,Warehouse worker,holmespatricia@example.org,102843.0
33,242-29-1930,Stephen Brandt,29,5882 Small Terrace Suite 325,Leslieville,Female,Quality Control,michaelbennett@example.net,219689.0
34,838-06-1992,Linda Stewart MD,46,82105 Woods Island,Vaughanton,Female,Data Scientist,larrysnyder@example.org,179313.0
35,815-01-6419,Karen Fowler,46,900 Joan Camp,North Tricia,Male,Data Scientist,zhaney@example.net,179313.0
36,710-29-1695,Jane Farley,32,429 Kelly Ways,Lopezton,Female,Software Engineer,uchandler@example.com,102843.0
37,047-04-2286,John Brown,47,31317 May Station,West Angela,Male,Quality Control,catherinerodriguez@example.com,219689.0
38,290-73-6967,Christopher Smith,22,316 Joanne Roads Suite 626,East Michaelberg,Female,Data Scientist,drobertson@example.org,179313.0
39,667-30-4685,Molly Weaver,32,8171 Brown Corner Apt. 276,South Douglas,Female,Software Engineer,keith54@example.net,102843.0
40,374-06-1185,Tanya Pena,29,004 Donald Mountains,Lake Sarahton,Female,Data Scientist,kevin19@example.org,179313.0
